PassengerId,Survived
892,0.1594639
893,0.4191222
894,0.08906271
895,0.1413982
896,0.78595954
897,0.117066406
898,0.25495034
899,0.74318534
900,0.6586127
901,0.14355828
902,0.17095289
903,0.11268765
904,0.9716088
905,0.3015405
906,0.95179826
907,0.9044184
908,0.27876145
909,0.40375277
910,0.34329417
911,0.18630725
912,0.17316431
913,0.8905261
914,0.96631235
915,0.20013082
916,0.96754175
917,0.10287523
918,0.99465126
919,0.36888883
920,0.7697512
921,0.22381382
922,0.10918944
923,0.19242162
924,0.5399975
925,0.09833422
926,0.4330758
927,0.38055417
928,0.5736202
929,0.60204005
930,0.1273799
931,0.41986188
932,0.12735207
933,0.39250496
934,0.12482873
935,0.90053105
936,0.9561447
937,0.13019803
938,0.7824553
939,0.19017547
940,0.94883835
941,0.56558496
942,0.38901848
943,0.1410859
944,0.914364
945,0.96379894
946,0.14380616
947,0.026020525
948,0.18504798
949,0.65420485
950,0.13489088
951,0.9879144
952,0.15324025
953,0.15120548
954,0.48957482
955,0.4477636
956,0.66005206
957,0.9349881
958,0.87578326
959,0.18452312
960,0.6899276
961,0.9466303
962,0.90704346
963,0.15222251
964,0.78764933
965,0.065583825
966,1.002561
967,0.5653395
968,0.15252027
969,0.68233943
970,0.51184046
971,0.43801475
972,0.85852057
973,0.24406475
974,0.27460858
975,0.14344928
976,0.27685225
977,0.2149167
978,0.5737316
979,0.3848791
980,0.5857894
981,0.9560043
982,0.71458924
983,0.1345449
984,0.94608706
985,0.1553097
986,0.40001938
987,0.15884082
988,0.95325685
989,0.13651223
990,0.56435597
991,0.105829254
992,0.9447933
993,0.09745475
994,0.16651201
995,0.15302868
996,0.7999777
997,0.14612122
998,0.17119332
999,0.16588646
1000,0.1413982
1001,0.1589488
1002,0.17229202
1003,0.6411827
1004,0.95224357
1005,0.93032634
1006,0.9861962
1007,0.2854902
1008,0.18944916
1009,0.7992869
1010,0.767804
1011,0.91615033
1012,0.9650927
1013,0.18437023
1014,1.0024995
1015,0.08206256
1016,0.18437023
1017,0.6719962
1018,0.16702236
1019,0.6424465
1020,0.36735296
1021,0.1299405
1022,0.13481161
1023,0.22617987
1024,0.21799588
1025,0.14741921
1026,0.10341475
1027,0.16988787
1028,0.3325547
1029,0.1111405
1030,0.27079582
1031,0.13923119
1032,0.23295458
1033,0.9872405
1034,0.7567853
1035,0.47625008
1036,0.33364284
1037,0.2245759
1038,0.26428074
1039,0.1242628
1040,0.6474381
1041,0.28621277
1042,0.9486241
1043,0.16237481
1044,0.12693134
1045,0.77817166
1046,0.31903782
1047,0.13479413
1048,0.9898143
1049,0.907415
1050,0.77046865
1051,0.6318762
1052,0.68488705
1053,0.79434854
1054,0.9171726
1055,0.07231606
1056,0.031270534
1057,0.920288
1058,0.35260978
1059,0.16487284
1060,0.9069879
1061,0.28312796
1062,0.10243227
1063,0.39002475
1064,0.12144464
1065,0.35963798
1066,0.31573898
1067,0.96722853
1068,0.958073
1069,0.16222641
